Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
45,,466246.533,4312196.460,2454.461,,-105.38956960,38.95807655,2440.470,Global,0.010,0.011,0.011,0.015,2.134,m,FIX,2024-04-24 15:35:09.8 UTC-06:00,2024-04-24 15:35:12.8 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,152.653,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
46,,466246.372,4312196.573,2454.481,,-105.38957145,38.95807757,2440.491,Global,0.011,0.010,0.014,0.015,2.134,m,FIX,2024-04-24 15:35:27.0 UTC-06:00,2024-04-24 15:35:30.0 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,152.749,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
47,,466246.256,4312196.777,2454.477,,-105.38957280,38.95807940,2440.486,Global,0.010,0.010,0.016,0.015,2.134,m,FIX,2024-04-24 15:35:49.8 UTC-06:00,2024-04-24 15:35:52.8 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,152.938,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
48,,466246.091,4312196.933,2454.454,,-105.38957472,38.95808080,2440.463,Global,0.010,0.010,0.011,0.015,2.134,m,FIX,2024-04-24 15:36:11.2 UTC-06:00,2024-04-24 15:36:14.2 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,153.074,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
49,,466245.942,4312197.045,2454.494,,-105.38957644,38.95808181,2440.503,Global,0.010,0.010,0.015,0.014,2.134,m,FIX,2024-04-24 15:36:29.0 UTC-06:00,2024-04-24 15:36:32.0 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,153.169,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
50,,466245.831,4312197.199,2454.471,,-105.38957773,38.95808319,2440.481,Global,0.011,0.010,0.014,0.015,2.134,m,FIX,2024-04-24 15:36:45.6 UTC-06:00,2024-04-24 15:36:48.6 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,153.309,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
51,,466245.726,4312197.350,2454.455,,-105.38957895,38.95808454,2440.465,Global,0.010,0.010,0.014,0.015,2.134,m,FIX,2024-04-24 15:37:04.4 UTC-06:00,2024-04-24 15:37:07.4 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,153.451,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
52,,466245.601,4312197.512,2454.433,,-105.38958041,38.95808600,2440.442,Global,0.010,0.010,0.011,0.015,2.134,m,FIX,2024-04-24 15:37:21.6 UTC-06:00,2024-04-24 15:37:24.6 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,153.605,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
53,,466245.526,4312197.695,2454.398,,-105.38958127,38.95808764,2440.408,Global,0.010,0.010,0.010,0.015,2.134,m,FIX,2024-04-24 15:37:38.6 UTC-06:00,2024-04-24 15:37:41.6 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,153.781,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
54,,466245.422,4312197.858,2454.407,,-105.38958248,38.95808911,2440.416,Global,0.011,0.011,0.011,0.015,2.134,m,FIX,2024-04-24 15:37:57.6 UTC-06:00,2024-04-24 15:38:00.6 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,153.934,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
