,index,Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,northing_adj,easting_adj,elevation_adj,geometry
31,31,32,,466236.737,4311870.736,2456.06,,-105.3896666,38.95514101,2442.066,Global,0.01,0.01,0.011,0.014,2.134,m,FIX,2024-07-22 13:26:47.2 UTC-06:00,2024-07-22 13:26:50.2 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.165,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,6,5,0,4311870.154,466238.402,2454.062,POINT Z (466238.402 4311870.154 2454.062)
32,32,33,,466236.519,4311870.755,2456.028,,-105.3896691,38.95514117,2442.034,Global,0.01,0.01,0.01,0.014,2.134,m,FIX,2024-07-22 13:27:01.4 UTC-06:00,2024-07-22 13:27:04.4 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.143,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,6,5,0,4311870.173,466238.18399999995,2454.0299999999997,POINT Z (466238.18399999995 4311870.173 2454.0299999999997)
33,33,34,,466236.341,4311870.783,2456.029,,-105.3896712,38.95514142,2442.035,Global,0.014,0.011,0.011,0.018,2.134,m,FIX,2024-07-22 13:27:15.6 UTC-06:00,2024-07-22 13:27:18.6 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.099,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,6,5,0,4311870.201,466238.006,2454.031,POINT Z (466238.006 4311870.201 2454.031)
34,34,35,,466236.168,4311870.776,2456.052,,-105.3896732,38.95514135,2442.058,Global,0.01,0.011,0.013,0.015,2.134,m,FIX,2024-07-22 13:27:27.6 UTC-06:00,2024-07-22 13:27:30.6 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.103,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,6,5,0,4311870.194,466237.833,2454.054,POINT Z (466237.833 4311870.194 2454.054)
35,35,36,,466235.968,4311870.765,2456.045,,-105.3896755,38.95514125,2442.051,Global,0.01,0.013,0.011,0.017,2.134,m,FIX,2024-07-22 13:27:40.4 UTC-06:00,2024-07-22 13:27:43.4 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.101,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,6,5,0,4311870.183,466237.633,2454.047,POINT Z (466237.633 4311870.183 2454.047)
36,36,37,,466235.762,4311870.784,2456.058,,-105.3896778,38.95514141,2442.064,Global,0.01,0.012,0.012,0.016,2.134,m,FIX,2024-07-22 13:27:53.2 UTC-06:00,2024-07-22 13:27:56.2 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.073,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,6,5,0,4311870.2020000005,466237.42699999997,2454.06,POINT Z (466237.42699999997 4311870.2020000005 2454.06)
37,37,38,,466235.55,4311870.784,2456.007,,-105.3896803,38.9551414,2442.013,Global,0.011,0.011,0.01,0.016,2.134,m,FIX,2024-07-22 13:28:05.0 UTC-06:00,2024-07-22 13:28:08.0 UTC-06:00,16,1.5,1.8,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.076,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,6,5,0,4311870.2020000005,466237.21499999997,2454.009,POINT Z (466237.21499999997 4311870.2020000005 2454.009)
38,38,39,,466235.351,4311870.821,2455.994,,-105.3896826,38.95514172,2442.001,Global,0.011,0.011,0.011,0.015,2.134,m,FIX,2024-07-22 13:28:17.0 UTC-06:00,2024-07-22 13:28:20.0 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.037,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,6,5,0,4311870.239000001,466237.016,2453.996,POINT Z (466237.016 4311870.239000001 2453.996)
39,39,40,,466235.147,4311870.847,2455.985,,-105.3896849,38.95514195,2441.992,Global,0.01,0.01,0.01,0.015,2.134,m,FIX,2024-07-22 13:28:30.0 UTC-06:00,2024-07-22 13:28:33.0 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.007,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,6,5,0,4311870.265000001,466236.812,2453.987,POINT Z (466236.812 4311870.265000001 2453.987)
40,40,41,,466234.948,4311870.807,2455.974,,-105.3896872,38.95514158,2441.98,Global,0.011,0.011,0.011,0.015,2.134,m,FIX,2024-07-22 13:28:40.6 UTC-06:00,2024-07-22 13:28:43.6 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.038,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,6,5,0,4311870.225000001,466236.61299999995,2453.976,POINT Z (466236.61299999995 4311870.225000001 2453.976)
41,41,42,,466234.752,4311870.838,2455.959,,-105.3896895,38.95514185,2441.965,Global,0.01,0.01,0.013,0.014,2.134,m,FIX,2024-07-22 13:28:53.4 UTC-06:00,2024-07-22 13:28:56.4 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.004,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,6,5,0,4311870.256000001,466236.41699999996,2453.961,POINT Z (466236.41699999996 4311870.256000001 2453.961)
42,42,43,,466234.567,4311870.789,2455.945,,-105.3896916,38.9551414,2441.951,Global,0.01,0.011,0.014,0.015,2.134,m,FIX,2024-07-22 13:29:04.4 UTC-06:00,2024-07-22 13:29:07.4 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,175.048,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,6,5,0,4311870.207,466236.23199999996,2453.947,POINT Z (466236.23199999996 4311870.207 2453.947)
43,43,44,,466234.355,4311870.859,2455.908,,-105.3896941,38.95514202,2441.914,Global,0.02,0.013,0.011,0.024,2.134,m,FIX,2024-07-22 13:29:16.8 UTC-06:00,2024-07-22 13:29:19.8 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,174.975,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,6,5,0,4311870.277000001,466236.01999999996,2453.91,POINT Z (466236.01999999996 4311870.277000001 2453.91)
44,44,45,,466234.192,4311870.836,2455.87,,-105.389696,38.95514181,2441.876,Global,0.011,0.011,0.011,0.015,2.134,m,FIX,2024-07-22 13:29:37.0 UTC-06:00,2024-07-22 13:29:40.0 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,174.997,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,6,5,0,4311870.254000001,466235.85699999996,2453.872,POINT Z (466235.85699999996 4311870.254000001 2453.872)
45,45,46,,466233.948,4311870.851,2455.842,,-105.3896988,38.95514194,2441.849,Global,0.011,0.012,0.011,0.016,2.134,m,FIX,2024-07-22 13:29:48.8 UTC-06:00,2024-07-22 13:29:51.8 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,174.982,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,6,5,0,4311870.269,466235.61299999995,2453.844,POINT Z (466235.61299999995 4311870.269 2453.844)
46,46,47,,466233.773,4311870.861,2455.811,,-105.3897008,38.95514203,2441.817,Global,0.01,0.01,0.011,0.015,2.134,m,FIX,2024-07-22 13:29:59.4 UTC-06:00,2024-07-22 13:30:02.4 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,174.973,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,6,5,0,4311870.279,466235.43799999997,2453.813,POINT Z (466235.43799999997 4311870.279 2453.813)
47,47,48,,466233.562,4311870.885,2455.765,,-105.3897032,38.95514224,2441.771,Global,0.01,0.011,0.01,0.015,2.134,m,FIX,2024-07-22 13:30:12.0 UTC-06:00,2024-07-22 13:30:15.0 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,174.938,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,6,6,5,0,4311870.303,466235.22699999996,2453.767,POINT Z (466235.22699999996 4311870.303 2453.767)
48,48,49,,466233.367,4311870.859,2455.732,,-105.3897055,38.95514199,2441.738,Global,0.01,0.014,0.01,0.018,2.134,m,FIX,2024-07-22 13:30:27.2 UTC-06:00,2024-07-22 13:30:30.2 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,174.964,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,6,5,0,4311870.277000001,466235.032,2453.734,POINT Z (466235.032 4311870.277000001 2453.734)
49,49,50,,466233.154,4311870.915,2455.732,,-105.3897079,38.95514249,2441.738,Global,0.011,0.012,0.011,0.017,2.134,m,FIX,2024-07-22 13:30:38.6 UTC-06:00,2024-07-22 13:30:41.6 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,174.925,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,6,5,0,4311870.333000001,466234.81899999996,2453.734,POINT Z (466234.81899999996 4311870.333000001 2453.734)
50,50,51,,466232.96,4311870.887,2455.664,,-105.3897102,38.95514223,2441.671,Global,0.01,0.011,0.01,0.015,2.134,m,FIX,2024-07-22 13:30:53.0 UTC-06:00,2024-07-22 13:30:56.0 UTC-06:00,16,1.4,1.7,466230.172,4312045.18,2470.929,-105.389751,38.95671271,2456.937,174.947,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,6,6,6,5,0,4311870.305000001,466234.625,2453.666,POINT Z (466234.625 4311870.305000001 2453.666)
