point,easting,northing,elevationj,code
302,4328347.597,988257.496,2407.477,tr
303,4328348.165,988257.222,2407.521,tr
304,4328348.821,988256.876,2407.577,tr
305,4328349.495,988256.573,2407.604,tr
306,4328349.887,988256.364,2407.674,tr
307,4328350.492,988256.12,2407.722,tr
308,4328351.194,988255.764,2407.737,tr
309,4328351.992,988255.408,2407.699,tr
310,4328352.688,988255.093,2407.711,tr
311,4328353.206,988254.832,2407.678,tr
312,4328353.732,988254.544,2407.718,tr
313,4328354.491,988254.266,2407.661,tr
314,4328355.21,988253.952,2407.646,tr
315,4328355.755,988253.696,2407.604,tr
316,4328356.288,988253.469,2407.586,tr
317,4328356.802,988253.223,2407.504,tr
318,4328357.283,988252.979,2407.537,tr
319,4328357.854,988252.717,2407.583,tr
320,4328358.628,988252.39,2407.629,tr
321,4328359.187,988252.109,2407.613,tr
322,4328359.85,988251.848,2407.584,tr
323,4328360.451,988251.531,2407.56,tr
324,4328361.105,988251.251,2407.585,tr
325,4328361.684,988250.949,2407.632,tr
326,4328362.342,988250.647,2407.614,tr
327,4328363.021,988250.276,2407.591,tr
328,4328363.551,988250.038,2407.587,tr
329,4328364.144,988249.781,2407.649,tr
330,4328364.672,988249.52,2407.684,tr
331,4328365.383,988249.147,2407.704,tr
332,4328365.949,988248.952,2407.714,tr
333,4328366.582,988248.622,2407.782,tr
334,4328367.205,988248.276,2407.79,tr
335,4328367.924,988247.946,2407.818,tr
336,4328368.489,988247.666,2407.84,tr
337,4328369.109,988247.333,2407.764,tr
338,4328369.792,988247.044,2407.785,tr
