"SID","sedstorage_y2025_m3","sedstorage_ci_hi_y2025_m3","sedstorage_ci_lo_y2025_m3"
331709,53695.2373215859,77709.24,5521.25820124391
331744,82480.8309990183,144317.16,8502.4706702752
331745,59527.8995988221,72775.32,6078.44858903997
331747,21722.4726367598,134449.32,2221.03711995053
331767,188951.507480323,278766.48,19418.7878388305
331768,35408.3118526219,97444.92,3595.10465592889
331769,78665.187654934,115947.12,8085.0957989227
331770,93578.9091659027,331806.12,9579.58672056586
331771,1786.01722518776,17588.0348977848,181.365203515098
331788,326313.488890561,481057.2,33639.0636011017
331812,100623.028220349,189955.92,10397.1931799693
331848,111612.697704212,172687.2,11488.5027914379
331926,70963.246375617,186255.48,7268.34447948349
331928,95254.724629782,152951.52,9827.11255849716
331929,128428.227654608,203524.2,13245.4845368805
331930,155320.162289083,342907.44,16025.6965708142
331932,140431.707561457,284933.88,14374.6118557332
331933,39973.4409456909,70308.36,4093.54991912216
331982,18705.2341182249,183817.033764228,1903.44592257095
331984,2668.89060712383,26532.8395301042,268.458905979968
331991,40262.8149184348,85110.12,4130.06788165973
331992,13107.8678489786,128440.379467301,1337.71170919055
331993,39799.7442586015,76475.76,4070.89466188465
331994,156531.872760544,838766.4,16062.9336878876
331995,36760.2013790144,159118.92,3751.46740823002
331996,12170.1485256102,119569.226249765,1238.7176849838
331997,39769.2386538433,387325.062733773,4083.37206981477
331998,1540.97503985355,15212.4946487119,156.095639031348
331999,44230.6197564692,66607.92,4538.95896181881
332000,80217.0914604081,123348,8267.59107347354
332002,114046.081269519,229427.28,11727.2005565709
332004,60396.0292372931,165286.32,6154.03575742934
332006,50336.8758188278,102378.84,5131.67883560892
332008,36507.6967064811,64140.96,3744.03994278844
332009,63871.0265596309,85110.12,6563.80071624768
332010,227867.373912641,407048.4,23443.7019146022
332011,272080.288423353,1039823.64,28004.1234982132
332014,146367.917565691,419383.2,15053.3012315014
332016,108219.547754694,178854.6,11123.8480303088
332017,60995.7338483923,88810.56,6269.08715179253
332018,48590.4128771973,85110.12,4977.84757370174
332022,133101.1074755,333039.6,13733.6963093215
332023,47947.8364127658,62907.48,4924.01585724387
332024,23798.1486151347,61674,2437.69389527447
332026,39898.7185029247,76475.76,4091.71502658734
332027,23535.0908552354,76475.76,2407.15220366359
332028,36997.5867008269,81385.0104,3821.1271081052
332029,27316.6271897698,70308.36,2797.67529700014
332030,77789.2709295509,252863.4,7988.77270097929
332031,99652.5550568474,360176.16,10259.2277058445
332037,954301.211493494,3147840.96,98523.6569618428
332039,220570.322942202,1005286.2,22639.263748864
332042,94977.5710095493,133215.84,9768.96813327052
332043,424234.062120309,4115714.4543315,43728.6263321032
332044,27435.887380703,114713.64,2793.62414613026
332045,1094763.6659338,3015858.6,112819.85131624
332046,2291.86825885425,22791.7636563722,230.463082854717
332055,31814.6150795009,85110.12,3273.04889214092
332070,89672.2267991642,370044,9274.20998448448
332071,60156.1423094029,83876.64,6176.83215528709
332072,31651.815169955,67841.4,3234.13495401618
332073,20621.2015242843,102378.84,2115.19448579855
332074,23499.3066292594,76475.76,2410.83944521817
332077,61593.446641902,135682.8,6367.44652549478
332092,49981.4548259245,80176.2,5120.94037137783
332096,85726.4243390623,550132.08,8863.07342191074
