,index,Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,northing_adj,easting_adj,elevation_adj,geometry
30,30,31,,468383.86,4313371.865,2421.364,,-105.3649562,38.96874814,2407.337,Global,0.01,0.01,0.011,0.015,1.734,m,FIX,RTK,2025-07-11 11:01:06.6 UTC-06:00,2025-07-11 11:01:09.6 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,75.537,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313370.782000001,468384.948,2418.014,POINT Z (468384.948 4313370.782000001 2418.014)
31,31,32,,468383.69,4313371.873,2421.317,,-105.36495816,38.9687482,2407.291,Global,0.012,0.011,0.011,0.017,1.734,m,FIX,RTK,2025-07-11 11:01:14.8 UTC-06:00,2025-07-11 11:01:17.8 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,75.599,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313370.79,468384.778,2417.967,POINT Z (468384.778 4313370.79 2417.967)
32,32,33,,468383.46,4313371.988,2421.319,,-105.36496082,38.96874923,2407.293,Global,0.013,0.01,0.011,0.016,1.734,m,FIX,RTK,2025-07-11 11:01:23.8 UTC-06:00,2025-07-11 11:01:26.8 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,75.782,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313370.905,468384.548,2417.969,POINT Z (468384.548 4313370.905 2417.969)
33,33,34,,468383.289,4313372.055,2421.29,,-105.3649628,38.96874983,2407.264,Global,0.011,0.011,0.01,0.016,1.734,m,FIX,RTK,2025-07-11 11:01:32.4 UTC-06:00,2025-07-11 11:01:35.4 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,75.896,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313370.972,468384.377,2417.94,POINT Z (468384.377 4313370.972 2417.94)
34,34,35,,468383.105,4313372.139,2421.269,,-105.36496493,38.96875058,2407.243,Global,0.011,0.011,0.01,0.016,1.734,m,FIX,RTK,2025-07-11 11:01:41.4 UTC-06:00,2025-07-11 11:01:44.4 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,76.05,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313371.056000001,468384.19299999997,2417.919,POINT Z (468384.19299999997 4313371.056000001 2417.919)
35,35,36,,468382.902,4313372.207,2421.247,,-105.36496728,38.96875118,2407.221,Global,0.01,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-11 11:01:52.6 UTC-06:00,2025-07-11 11:01:55.6 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,76.175,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313371.124000001,468383.99,2417.897,POINT Z (468383.99 4313371.124000001 2417.897)
36,36,37,,468382.781,4313372.241,2421.225,,-105.36496867,38.96875148,2407.199,Global,0.011,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-11 11:02:02.4 UTC-06:00,2025-07-11 11:02:05.4 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,76.248,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313371.158000001,468383.869,2417.875,POINT Z (468383.869 4313371.158000001 2417.875)
37,37,38,,468382.569,4313372.265,2421.211,,-105.36497113,38.96875169,2407.184,Global,0.012,0.014,0.01,0.019,1.734,m,FIX,RTK,2025-07-11 11:02:12.2 UTC-06:00,2025-07-11 11:02:15.2 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,76.342,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313371.182,468383.657,2417.861,POINT Z (468383.657 4313371.182 2417.861)
38,38,39,,468382.371,4313372.399,2421.183,,-105.36497342,38.96875289,2407.157,Global,0.012,0.011,0.01,0.016,1.734,m,FIX,RTK,2025-07-11 11:02:23.0 UTC-06:00,2025-07-11 11:02:26.0 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,76.538,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313371.316000001,468383.459,2417.833,POINT Z (468383.459 4313371.316000001 2417.833)
39,39,40,,468382.166,4313372.46,2421.166,,-105.36497579,38.96875344,2407.14,Global,0.011,0.01,0.01,0.015,1.734,m,FIX,RTK,2025-07-11 11:02:32.4 UTC-06:00,2025-07-11 11:02:35.4 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,76.67,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313371.377,468383.254,2417.8160000000003,POINT Z (468383.254 4313371.377 2417.8160000000003)
