Name,Code,Easting,Northing,OriginalElevation ,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,
35,,466247.543,4312195.043,2454.518,2434.518,,-105.3895579,38.95806383,2440.527,Global,0.012,0.012,0.01,0.017,1.934,m,FIX,2025-03-31 10:54:15.6 UTC-06:00,2025-03-31 10:54:18.6 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,151.348,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
36,,466247.403,4312195.169,2454.498,2434.498,,-105.3895595,38.95806496,2440.507,Global,0.011,0.019,0.01,0.022,1.934,m,FIX,2025-03-31 10:55:18.0 UTC-06:00,2025-03-31 10:55:21.0 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,151.473,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
37,,466247.218,4312195.326,2454.473,2434.473,,-105.3895616,38.95806637,2440.482,Global,0.012,0.012,0.01,0.017,1.934,m,FIX,2025-03-31 10:55:26.8 UTC-06:00,2025-03-31 10:55:29.8 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,151.589,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
38,,466247.197,4312195.579,2454.49,2434.49,,-105.3895619,38.95806865,2440.499,Global,0.013,0.014,0.011,0.019,1.934,m,FIX,2025-03-31 10:55:39.4 UTC-06:00,2025-03-31 10:55:42.4 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,151.839,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
39,,466247.029,4312195.655,2454.506,2434.506,,-105.3895638,38.95806932,2440.515,Global,0.012,0.014,0.011,0.019,1.934,m,FIX,2025-03-31 10:55:50.0 UTC-06:00,2025-03-31 10:55:53.0 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,151.883,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
40,,466246.955,4312195.857,2454.525,2434.525,,-105.3895647,38.95807114,2440.534,Global,0.011,0.013,0.01,0.017,1.934,m,FIX,2025-03-31 10:56:03.2 UTC-06:00,2025-03-31 10:56:06.2 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,152.09,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
41,,466246.739,4312195.927,2454.532,2434.532,,-105.3895672,38.95807177,2440.542,Global,0.011,0.011,0.01,0.015,1.934,m,FIX,2025-03-31 10:56:14.8 UTC-06:00,2025-03-31 10:56:17.8 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,152.123,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
42,,466246.599,4312196.097,2454.474,2434.474,,-105.3895688,38.95807329,2440.484,Global,0.019,0.015,0.01,0.024,1.934,m,FIX,2025-03-31 10:56:24.4 UTC-06:00,2025-03-31 10:56:27.4 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,152.288,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
43,,466246.473,4312196.313,2454.458,2434.458,,-105.3895703,38.95807523,2440.468,Global,0.015,0.012,0.01,0.019,1.934,m,FIX,2025-03-31 10:56:38.6 UTC-06:00,2025-03-31 10:56:41.6 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,152.5,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
44,,466246.356,4312196.553,2454.377,2434.377,,-105.3895717,38.95807739,2440.386,Global,0.011,0.015,0.01,0.018,1.934,m,FIX,2025-03-31 10:56:49.8 UTC-06:00,2025-03-31 10:56:52.8 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,152.686,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
