siteID,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,Na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,flagBr,Br,svol,ppt,subppt,valcode,invalcode,modifiedOn
CO21,NA2698OW,"1980-05-13 15:00","1980-05-20 15:00",198005,4.690,14.900," ",.180," ",.025," ",.020," ",.630," ",.030," ",1.340," ",.150," ",1.800,0,-9,1158.000,21.840,21.840,"w ","            ",1985-06-04
CO21,NA2770OW,"1980-05-20 15:00","1980-05-27 15:00",198005,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA2801OW,"1980-05-27 15:00","1980-06-03 15:00",198005,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000,<,-9.000,<,-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA2872OW,"1980-06-03 15:00","1980-06-10 15:00",198006,6.850,21.100," ",.390," ",.057," ",.270," ",2.998," ",.490," ",1.980," ",.430," ",3.680,0,-9,219.200,3.560,3.560,"w ","            ",1985-06-04
CO21,NA2936OW,"1980-06-10 15:00","1980-06-17 15:00",198006,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,265.200,5.330,5.330,"  ","x           ",1985-12-31
CO21,NA2972OW,"1980-06-17 15:00","1980-06-24 15:00",198006,5.290,14.500," ",.660," ",.100," ",.154," ",.714," ",.350," ",2.200," ",.260," ",2.570,0,-9,686.300,10.410,10.410,"w ","            ",1985-06-04
CO21,NA3138OW,"1980-06-24 15:00","1980-07-08 15:00",198006,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,1164.600,19.050,19.050,"  ","e           ",1988-09-20
CO21,NA3180OW,"1980-07-08 15:00","1980-07-15 15:00",198007,4.780,16.100," ",.370," ",.037," ",.057," ",.229," ",.440," ",2.080," ",.180," ",1.610,0,-9,863.000,12.950,12.950,"w ","            ",1985-06-04
CO21,NA3326OW,"1980-07-15 15:00","1980-07-22 15:00",198007,5.830,13.300," ",.680," ",.100," ",.101," ",.090," ",.560," ",2.190," ",.260," ",1.790,0,-9,585.400,9.650,9.650,"w ","            ",1985-06-04
CO21,NA3344OW,"1980-07-22 15:00","1980-07-29 15:00",198007,4.540,26.900," ",1.060," ",.204," ",.095," ",.371," ",.320," ",3.260," ",.400," ",3.650,0,-9,672.400,11.430,11.430,"w ","            ",1985-06-04
CO21,NA3439OW,"1980-07-29 15:00","1980-08-05 15:00",198008,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,49.600,16.510,16.510,"  ","b           ",1986-01-09
CO21,N@0120OW,"1980-08-05 00:00","1980-08-12 00:00",198008,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,-9.000,-9.990,-9.990,"  ","np          ",1985-05-17
CO21,NA3634OW,"1980-08-12 15:00","1980-08-26 15:00",198008,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,3953.200,75.180,75.180,"  ","e           ",1988-09-20
CO21,NA3640OW,"1980-08-26 15:00","1980-09-02 15:00",198008,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,384.100,13.970,13.970,"  ","uli         ",1996-01-30
CO21,NA3705OW,"1980-09-02 15:00","1980-09-09 15:00",198009,5.180,10.100," ",.380," ",.034," ",.083," ",.053," ",.410," ",1.120," ",.160," ",1.660,0,-9,625.100,11.430,11.430,"w ","            ",1985-06-04
CO21,NA3803OW,"1980-09-09 15:00","1980-09-16 15:00",198009,5.760,13.000," ",.730," ",.067," ",.286," ",.226," ",.410," ",1.850," ",.340," ",2.240,0,-9,68.700,3.810,3.810,"w ","            ",1985-06-04
CO21,NA3865OW,"1980-09-16 15:00","1980-09-23 15:00",198009,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000,<,-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA3957OW,"1980-09-23 15:00","1980-09-30 15:00",198009,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000,<,-9.000," ",-9.000,<,-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA4055OW,"1980-09-30 15:00","1980-10-07 15:00",198010,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000,<,-9.000," ",-9.000,<,-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA4030OW,"1980-10-07 15:00","1980-10-14 15:00",198010,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000,<,-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA4139OW,"1980-10-14 15:00","1980-10-21 15:00",198010,4.800,11.700," ",.310," ",.039," ",.061," ",.082," ",.170," ",.700," ",.130," ",1.890,0,-9,309.400,4.320,4.320,"w ","            ",1985-06-04
CO21,NA4215OW,"1980-10-21 15:00","1980-10-28 16:00",198010,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000,<,-9.000," ",-9.000,<,-9.000,0,-9,.000,.250,.250,"  ","v           ",1985-11-20
CO21,NA4324OW,"1980-10-28 16:00","1980-11-04 16:00",198010,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000,<,-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA4373OW,"1980-11-04 16:00","1980-11-11 16:00",198011,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000,<,-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA4500OW,"1980-11-11 16:00","1980-11-18 16:00",198011,-9.000,-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000,<,-9.000,0,-9,.000,8.890,8.890,"  ","v           ",1986-01-22
CO21,NA4517OW,"1980-11-18 16:00","1980-11-25 16:00",198011,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000,<,-9.000,0,-9,.000,7.870,7.870,"  ","v           ",1985-11-20
CO21,NA4813OW,"1980-11-25 16:00","1980-12-02 16:00",198011,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA4751OW,"1980-12-02 16:00","1980-12-09 16:00",198012,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,.000,-7.000,.127,"t ","            ",1985-11-20
CO21,NA4783OW,"1980-12-09 16:00","1980-12-16 16:00",198012,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000," ",-9.000," ",-9.000,<,-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA4992OW,"1980-12-16 16:00","1980-12-23 16:00",198012,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000,<,-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA4993OW,"1980-12-23 16:00","1980-12-30 16:00",198012,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000,<,-9.000," ",-9.000," ",-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
CO21,NA4986OW,"1980-12-30 16:00","1981-01-06 16:00",198101,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,10.900,.760,.760,"  ","v           ",1985-06-06
CO21,NA5050OW,"1981-01-06 16:00","1981-01-13 16:00",198101,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,<,-9.000,0,-9,.000,.000,.000,"d ","            ",1985-11-20
